,subject,trial_index,feature,word_question,user_answer,is_right,feature_appear,feature_disappear,question_appear,answer_time
0,888,0,red,red,right,True,2026-03-08_22-41-22.246,2026-03-08_22-41-23.259,2026-03-08_22-41-24.339,2026-03-08_22-41-25.931
1,888,1,green,green,right,True,2026-03-08_22-41-30.369,2026-03-08_22-41-31.383,2026-03-08_22-41-32.549,2026-03-08_22-41-34.273
2,888,2,yellow,yellow,right,True,2026-03-08_22-41-38.746,2026-03-08_22-41-39.758,2026-03-08_22-41-41.728,2026-03-08_22-41-44.882
3,888,3,yellow,yellow,right,True,2026-03-08_22-41-49.339,2026-03-08_22-41-50.352,2026-03-08_22-41-51.763,2026-03-08_22-41-56.740
4,888,4,bathroom,bathroom,right,True,2026-03-08_22-42-00.568,2026-03-08_22-42-01.581,2026-03-08_22-42-03.064,2026-03-08_22-42-04.608
5,888,5,living_room,living_room,right,True,2026-03-08_22-42-09.141,2026-03-08_22-42-10.155,2026-03-08_22-42-11.449,2026-03-08_22-42-12.598
6,888,6,yellow,red,left,True,2026-03-08_22-42-17.631,2026-03-08_22-42-18.644,2026-03-08_22-42-20.460,2026-03-08_22-42-21.717
7,888,7,bathroom,bathroom,right,True,2026-03-08_22-42-26.487,2026-03-08_22-42-27.500,2026-03-08_22-42-28.642,2026-03-08_22-42-30.919
8,888,8,bathroom,living_room,left,True,2026-03-08_22-42-35.761,2026-03-08_22-42-36.774,2026-03-08_22-42-38.017,2026-03-08_22-42-39.455
9,888,9,living_room,living_room,right,True,2026-03-08_22-42-43.188,2026-03-08_22-42-44.202,2026-03-08_22-42-45.412,2026-03-08_22-42-46.773
10,888,10,kitchen,kitchen,left,False,2026-03-08_22-42-52.421,2026-03-08_22-42-53.434,2026-03-08_22-42-55.071,2026-03-08_22-42-58.406
11,888,11,living_room,living_room,right,True,2026-03-08_22-43-06.126,2026-03-08_22-43-07.140,2026-03-08_22-43-08.694,2026-03-08_22-43-10.810
12,888,12,living_room,living_room,right,True,2026-03-08_22-43-15.690,2026-03-08_22-43-16.704,2026-03-08_22-43-18.155,2026-03-08_22-43-19.728
13,888,13,green,green,right,True,2026-03-08_22-43-24.018,2026-03-08_22-43-25.031,2026-03-08_22-43-26.924,2026-03-08_22-43-27.906
14,888,14,red,green,left,True,2026-03-08_22-43-32.823,2026-03-08_22-43-33.836,2026-03-08_22-43-35.057,2026-03-08_22-43-36.190
15,888,15,yellow,yellow,right,True,2026-03-08_22-43-40.933,2026-03-08_22-43-41.947,2026-03-08_22-43-43.033,2026-03-08_22-43-44.026
16,888,16,living_room,kitchen,right,False,2026-03-08_22-43-47.825,2026-03-08_22-43-48.839,2026-03-08_22-43-50.530,2026-03-08_22-43-54.762
17,888,17,kitchen,living_room,left,True,2026-03-08_22-44-02.029,2026-03-08_22-44-03.041,2026-03-08_22-44-04.942,2026-03-08_22-44-06.605
18,888,18,bathroom,bathroom,right,True,2026-03-08_22-44-11.975,2026-03-08_22-44-12.989,2026-03-08_22-44-14.030,2026-03-08_22-44-15.891
19,888,19,kitchen,kitchen,right,True,2026-03-08_22-44-20.162,2026-03-08_22-44-21.175,2026-03-08_22-44-22.858,2026-03-08_22-44-23.942
20,888,20,kitchen,kitchen,right,True,2026-03-08_22-44-28.051,2026-03-08_22-44-29.064,2026-03-08_22-44-30.308,2026-03-08_22-44-31.621
21,888,21,green,green,right,True,2026-03-08_22-44-36.818,2026-03-08_22-44-37.830,2026-03-08_22-44-38.961,2026-03-08_22-44-40.196
22,888,22,bathroom,bathroom,right,True,2026-03-08_22-44-44.497,2026-03-08_22-44-45.510,2026-03-08_22-44-47.140,2026-03-08_22-44-48.388
23,888,23,kitchen,bathroom,left,True,2026-03-08_22-44-51.763,2026-03-08_22-44-52.776,2026-03-08_22-44-54.452,2026-03-08_22-44-56.079
24,888,24,yellow,yellow,right,True,2026-03-08_22-44-59.701,2026-03-08_22-45-00.714,2026-03-08_22-45-01.936,2026-03-08_22-45-03.113
25,888,25,bathroom,kitchen,left,True,2026-03-08_22-45-07.809,2026-03-08_22-45-08.821,2026-03-08_22-45-10.828,2026-03-08_22-45-12.202
26,888,26,yellow,yellow,right,True,2026-03-08_22-45-15.969,2026-03-08_22-45-16.982,2026-03-08_22-45-18.986,2026-03-08_22-45-20.132
27,888,27,red,red,right,True,2026-03-08_22-45-25.134,2026-03-08_22-45-26.147,2026-03-08_22-45-27.702,2026-03-08_22-45-28.901
28,888,28,green,green,right,True,2026-03-08_22-45-33.776,2026-03-08_22-45-34.789,2026-03-08_22-45-36.144,2026-03-08_22-45-37.672
29,888,29,kitchen,kitchen,right,True,2026-03-08_22-45-41.836,2026-03-08_22-45-42.849,2026-03-08_22-45-44.460,2026-03-08_22-45-45.647
30,888,30,red,green,right,False,2026-03-08_22-45-49.765,2026-03-08_22-45-50.778,2026-03-08_22-45-52.426,2026-03-08_22-45-54.743
31,888,31,green,green,right,True,2026-03-08_22-46-01.859,2026-03-08_22-46-02.871,2026-03-08_22-46-04.396,2026-03-08_22-46-05.191
32,888,32,red,red,right,True,2026-03-08_22-46-09.845,2026-03-08_22-46-10.859,2026-03-08_22-46-11.989,2026-03-08_22-46-13.017
33,888,33,red,red,right,True,2026-03-08_22-46-17.699,2026-03-08_22-46-18.712,2026-03-08_22-46-20.652,2026-03-08_22-46-21.742
34,888,34,living_room,bathroom,left,True,2026-03-08_22-46-26.162,2026-03-08_22-46-27.176,2026-03-08_22-46-28.366,2026-03-08_22-46-31.421
35,888,35,red,red,right,True,2026-03-08_22-46-37.183,2026-03-08_22-46-38.196,2026-03-08_22-46-39.229,2026-03-08_22-46-40.316
36,888,36,green,yellow,left,True,2026-03-08_22-46-44.567,2026-03-08_22-46-45.580,2026-03-08_22-46-47.349,2026-03-08_22-46-48.437
37,888,37,kitchen,kitchen,right,True,2026-03-08_22-46-52.830,2026-03-08_22-46-53.843,2026-03-08_22-46-55.093,2026-03-08_22-46-56.150
38,888,38,living_room,bathroom,left,True,2026-03-08_22-47-01.109,2026-03-08_22-47-02.123,2026-03-08_22-47-04.038,2026-03-08_22-47-05.391
39,888,39,yellow,yellow,right,True,2026-03-08_22-47-09.052,2026-03-08_22-47-10.065,2026-03-08_22-47-12.027,2026-03-08_22-47-12.916
