,subject,trial,verb,animacy,block_index,trial_index_in_block,verb_appear,img_path_animacy,feature_appear_animacy,response_animacy,answer_time_animacy
0,444,1,drink,animate,0,0,2026-06-07_17-52-22.350,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_03.jpg,2026-06-07_17-52-25.165,timeout,2026-06-07_17-52-30.173
1,444,2,climb,animate,0,1,2026-06-07_17-52-31.629,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_01.jpg,2026-06-07_17-52-34.235,timeout,2026-06-07_17-52-39.244
2,444,3,swim,animate,0,2,2026-06-07_17-52-40.501,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_03.jpg,2026-06-07_17-52-43.153,timeout,2026-06-07_17-52-48.162
3,444,4,jump,inanimate,0,3,2026-06-07_17-52-48.703,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_02.jpg,2026-06-07_17-52-51.371,timeout,2026-06-07_17-52-56.381
4,444,5,sing,inanimate,0,4,2026-06-07_17-52-57.284,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_03.jpg,2026-06-07_17-53-00.288,timeout,2026-06-07_17-53-05.298
5,444,6,cook,animate,0,5,2026-06-07_17-53-05.869,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_01.jpg,2026-06-07_17-53-07.939,timeout,2026-06-07_17-53-12.949
6,444,7,write,inanimate,0,6,2026-06-07_17-53-13.739,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_01.jpg,2026-06-07_17-53-16.752,timeout,2026-06-07_17-53-21.762
7,444,8,run,inanimate,0,7,2026-06-07_17-53-23.196,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_03.jpg,2026-06-07_17-53-25.583,timeout,2026-06-07_17-53-30.593
8,444,9,read,animate,0,8,2026-06-07_17-53-31.664,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_02.jpg,2026-06-07_17-53-34.040,timeout,2026-06-07_17-53-39.050
9,444,10,להתקשר,inanimate,0,9,2026-06-07_17-53-39.753,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_01.jpg,2026-06-07_17-53-42.273,timeout,2026-06-07_17-53-47.283
10,444,11,eat,animate,0,10,2026-06-07_17-53-48.665,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_02.jpg,2026-06-07_17-53-51.289,timeout,2026-06-07_17-53-56.299
